City,Region
Rimouski,Bas-Saint-Laurent
Rivière-du-Loup,Bas-Saint-Laurent
Matane,Bas-Saint-Laurent
Alma,Saguenay-Lac-Saint-Jean
Saguenay,Saguenay-Lac-Saint-Jean
Quebec City,Capitale-Nationale
Shawinigan,Mauricie
Trois-Rivières,Mauricie
Sherbrooke,Estrie
Magog,Estrie
Gatineau,Outaouais
Rouyn-Noranda,Abitibi-Témiscamingue
Val-d'Or,Abitibi-Témiscamingue
Baie-Comeau,Côte-Nord
Sept-Îles,Côte-Nord
Chibougamau,Nord-du-Québec
Matagami,Nord-du-Québec
Puvirnituq,Nord-du-Québec
Gaspé,Gaspésie
Îles-de-la-Madeleine,Îles-de-la-Madeleine
Lévis,Chaudière-Appalaches
Saint-Georges,Chaudière-Appalaches
Laval,Laval
Joliette,Lanaudière
Repentigny,Lanaudière
Terrebonne,Lanaudière
Blainville,Laurentides
Mirabel,Laurentides
Saint-Jérôme,Laurentides
Sainte-Thérèse,Laurentides
Granby,Montérégie
Brossard,Montérégie
Candiac,Montérégie
Longueuil,Montérégie
Saint-Jean-sur-Richelieu,Montérégie
Saint-Hyacinthe,Montérégie
Sorel,Montérégie
Vaudreuil-Dorion,Montérégie
Drummondville,Centre-du-Québec
Victoriaville,Centre-du-Québec
